epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.338,1.25168,1.64562,1.41177,0.68664,0.94958,0.89158,0.64338,0.95509,2.17654,1.13438,0.00024,0.00024,0.00024
2,372.979,0.99588,0.71568,1.13852,0.81905,0.93697,0.9287,0.65452,1.05761,1.56088,1.16355,0.000335,0.000335,0.000335
3,551.592,0.94281,0.63391,1.10068,0.87098,0.936,0.94776,0.70414,0.94591,0.99358,1.08972,0.0002584,0.0002584,0.0002584
